index,pass_ID,scenario,time_crit,JRT,WT,commuter,age_50_65,age_65plus,Crowding_3_2,Crowding_4_3,Crowding_4_2,output_choice
71,72,1,0,25,10,1,0,1,1,0,0,1
71,72,2,0,25,5,1,0,1,1,0,0,1
71,72,3,0,25,10,1,0,1,0,1,0,1
71,72,4,0,25,5,1,0,1,0,1,0,1
71,72,5,0,25,10,1,0,1,0,0,1,1
71,72,6,0,25,5,1,0,1,0,0,1,1
72,73,1,1,10,10,0,0,0,1,0,0,0
72,73,2,1,10,5,0,0,0,1,0,0,0
72,73,3,1,10,10,0,0,0,0,1,0,0
72,73,4,1,10,5,0,0,0,0,1,0,0
72,73,5,1,10,10,0,0,0,0,0,1,0
72,73,6,1,10,5,0,0,0,0,0,1,0
73,74,1,0,15,10,0,0,0,1,0,0,0
73,74,2,0,15,5,0,0,0,1,0,0,0
73,74,3,0,15,10,0,0,0,0,1,0,1
73,74,4,0,15,5,0,0,0,0,1,0,1
73,74,5,0,15,10,0,0,0,0,0,1,1
73,74,6,0,15,5,0,0,0,0,0,1,1
74,75,1,0,15,10,0,0,1,1,0,0,0
74,75,2,0,15,5,0,0,1,1,0,0,1
74,75,3,0,15,10,0,0,1,0,1,0,1
74,75,4,0,15,5,0,0,1,0,1,0,1
74,75,5,0,15,10,0,0,1,0,0,1,1
74,75,6,0,15,5,0,0,1,0,0,1,1
75,76,1,0,30,10,1,0,0,1,0,0,0
75,76,2,0,30,5,1,0,0,1,0,0,0
75,76,3,0,30,10,1,0,0,0,1,0,1
75,76,4,0,30,5,1,0,0,0,1,0,1
75,76,5,0,30,10,1,0,0,0,0,1,1
75,76,6,0,30,5,1,0,0,0,0,1,1
76,77,1,1,10,10,1,0,0,1,0,0,0
76,77,2,1,10,5,1,0,0,1,0,0,0
76,77,3,1,10,10,1,0,0,0,1,0,1
76,77,4,1,10,5,1,0,0,0,1,0,1
76,77,5,1,10,10,1,0,0,0,0,1,1
76,77,6,1,10,5,1,0,0,0,0,1,1
77,78,1,0,40,10,1,0,0,1,0,0,0
77,78,2,0,40,5,1,0,0,1,0,0,0
77,78,3,0,40,10,1,0,0,0,1,0,0
77,78,4,0,40,5,1,0,0,0,1,0,0
77,78,5,0,40,10,1,0,0,0,0,1,0
77,78,6,0,40,5,1,0,0,0,0,1,0
78,79,1,0,40,10,0,1,0,1,0,0,1
78,79,2,0,40,5,0,1,0,1,0,0,1
78,79,3,0,40,10,0,1,0,0,1,0,1
78,79,4,0,40,5,0,1,0,0,1,0,1
78,79,5,0,40,10,0,1,0,0,0,1,1
78,79,6,0,40,5,0,1,0,0,0,1,1
79,80,1,1,10,10,1,0,0,1,0,0,0
79,80,2,1,10,5,1,0,0,1,0,0,0
79,80,3,1,10,10,1,0,0,0,1,0,0
79,80,4,1,10,5,1,0,0,0,1,0,1
79,80,5,1,10,10,1,0,0,0,0,1,0
79,80,6,1,10,5,1,0,0,0,0,1,1
80,81,1,0,30,10,0,1,0,1,0,0,0
80,81,2,0,30,5,0,1,0,1,0,0,0
80,81,3,0,30,10,0,1,0,0,1,0,1
80,81,4,0,30,5,0,1,0,0,1,0,1
80,81,5,0,30,10,0,1,0,0,0,1,1
80,81,6,0,30,5,0,1,0,0,0,1,1
81,82,1,1,25,10,1,0,0,1,0,0,0
81,82,2,1,25,5,1,0,0,1,0,0,1
81,82,3,1,25,10,1,0,0,0,1,0,1
81,82,4,1,25,5,1,0,0,0,1,0,1
81,82,5,1,25,10,1,0,0,0,0,1,1
81,82,6,1,25,5,1,0,0,0,0,1,1
82,83,1,1,7,10,1,0,0,1,0,0,0
82,83,2,1,7,5,1,0,0,1,0,0,0
82,83,3,1,7,10,1,0,0,0,1,0,0
82,83,4,1,7,5,1,0,0,0,1,0,0
82,83,5,1,7,10,1,0,0,0,0,1,0
82,83,6,1,7,5,1,0,0,0,0,1,0
83,84,1,0,25,10,1,1,0,1,0,0,0
83,84,2,0,25,5,1,1,0,1,0,0,0
83,84,3,0,25,10,1,1,0,0,1,0,1
83,84,4,0,25,5,1,1,0,0,1,0,1
83,84,5,0,25,10,1,1,0,0,0,1,1
83,84,6,0,25,5,1,1,0,0,0,1,1
84,85,1,0,30,10,0,0,0,1,0,0,0
84,85,2,0,30,5,0,0,0,1,0,0,0
84,85,3,0,30,10,0,0,0,0,1,0,1
84,85,4,0,30,5,0,0,0,0,1,0,1
84,85,5,0,30,10,0,0,0,0,0,1,1
84,85,6,0,30,5,0,0,0,0,0,1,1
85,86,1,1,27,10,1,0,0,1,0,0,0
85,86,2,1,27,5,1,0,0,1,0,0,0
85,86,3,1,27,10,1,0,0,0,1,0,1
85,86,4,1,27,5,1,0,0,0,1,0,1
85,86,5,1,27,10,1,0,0,0,0,1,1
85,86,6,1,27,5,1,0,0,0,0,1,1
86,87,1,0,5,10,1,0,0,1,0,0,0
86,87,2,0,5,5,1,0,0,1,0,0,0
86,87,3,0,5,10,1,0,0,0,1,0,0
86,87,4,0,5,5,1,0,0,0,1,0,0
86,87,5,0,5,10,1,0,0,0,0,1,0
86,87,6,0,5,5,1,0,0,0,0,1,0
87,88,1,0,20,10,0,0,1,1,0,0,1
87,88,2,0,20,5,0,0,1,1,0,0,1
87,88,3,0,20,10,0,0,1,0,1,0,1
87,88,4,0,20,5,0,0,1,0,1,0,1
87,88,5,0,20,10,0,0,1,0,0,1,1
